交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2017/5/8,TXO,201705W2,9200,買權,-,-,-,-,0,730,6,-,-,-,-,,一般
2017/5/8,TXO,201705W2,9200,賣權,-,-,-,-,0,0.1,338,-,-,-,-,,一般
2017/5/8,TXO,201705W2,9300,買權,-,-,-,-,0,630,1,-,-,-,-,,一般
2017/5/8,TXO,201705W2,9300,賣權,-,-,-,-,0,0.1,795,-,-,-,-,,一般
2017/5/8,TXO,201705W2,9400,買權,-,-,-,-,0,530,2,-,-,-,-,,一般
2017/5/8,TXO,201705W2,9400,賣權,-,-,-,-,0,0.1,996,-,-,-,-,,一般
2017/5/8,TXO,201705W2,9500,買權,452,452,452,452,1,431,6,400,810,461,408,,一般
2017/5/8,TXO,201705W2,9500,賣權,-,-,-,-,0,0.1,4930,-,-,-,-,,一般
2017/5/8,TXO,201705W2,9600,買權,-,-,-,-,0,331,4,-,-,-,-,,一般
2017/5/8,TXO,201705W2,9600,賣權,0.2,0.2,0.1,0.1,487,0.2,15177,0.1,0.2,1.8,0.1,,一般
2017/5/8,TXO,201705W2,9650,買權,311,311,311,311,8,281,7,25,444,311,243,,一般
2017/5/8,TXO,201705W2,9650,賣權,0.2,0.3,0.1,0.1,1313,0.2,22712,0.1,0.3,2.6,0.1,,一般
2017/5/8,TXO,201705W2,9700,買權,235,262,210,210,56,231,8,228,235,263,195,,一般
2017/5/8,TXO,201705W2,9700,賣權,1,1,0.3,0.3,2800,0.4,21886,0.3,0.4,4.3,0.3,,一般
2017/5/8,TXO,201705W2,9750,買權,193,212,160,160,175,181,151,179,183,220,148,,一般
2017/5/8,TXO,201705W2,9750,賣權,1.7,1.7,0.4,0.4,12462,0.5,24044,0.4,0.6,7,0.4,,一般
2017/5/8,TXO,201705W2,9800,買權,138,163,109,109,1529,133,863,132,133,176,101,,一般
2017/5/8,TXO,201705W2,9800,賣權,2.7,3.5,1.3,1.3,19241,1.6,17868,1.5,1.6,13,1.3,,一般
2017/5/8,TXO,201705W2,9850,買權,96,115,65,65,16946,85,5866,85,86,131,62,,一般
2017/5/8,TXO,201705W2,9850,賣權,8.6,10.5,3.5,3.5,35716,5.2,18584,5.1,5.2,24.5,3.5,,一般
2017/5/8,TXO,201705W2,9900,買權,59,73,32,32,40124,46,15512,46,46.5,90,32,,一般
2017/5/8,TXO,201705W2,9900,賣權,19.5,27.5,10,10,48390,16,18540,16,16.5,46,10,,一般
2017/5/8,TXO,201705W2,9950,買權,29.5,38,11.5,11.5,56001,19.5,23400,19.5,20,57,11.5,,一般
2017/5/8,TXO,201705W2,9950,賣權,39,57,25.5,25.5,36625,39,10977,38.5,39,78,25.5,,一般
2017/5/8,TXO,201705W2,10000,買權,10.5,17,3.5,3.5,44472,6.7,30541,6.6,6.7,32,3.5,,一般
2017/5/8,TXO,201705W2,10000,賣權,80,99,54,54,14221,75,3965,75,76,118,54,,一般
2017/5/8,TXO,201705W2,10100,買權,2.3,2.3,0.4,0.4,20085,0.5,36204,0.4,0.5,7.4,0.4,,一般
2017/5/8,TXO,201705W2,10100,賣權,157,193,140,140,1183,171,1017,168,172,209,134,,一般
2017/5/8,TXO,201705W2,10200,買權,0.2,0.3,0.1,0.1,1817,0.2,18329,0.1,0.2,1.8,0.1,,一般
2017/5/8,TXO,201705W2,10200,賣權,251,289,239,239,106,270,101,267,272,289,228,,一般
2017/5/8,TXO,201705W2,10400,買權,-,-,-,-,0,0.1,2799,-,-,-,-,,一般
